SKU,Store,category,OOS_days_x,date_list,OOS_lastDay_x,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin,Category_x,Category_y,State,City,BU,Concept,Brand,OOS_days_y,Date_list,OOS_lastDay_y,Avg Loss Sale qty,Avg Loss Net Sales,Avg Loss Margin,Total Loss Sale qty,Total Loss Net Sales,Total Loss Margin
AULS503722-Winnie The Pooh: Classic Colle,AULS.OOL101,,6,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,SCHO-Scholastic Australia Pty Ltd,6.0,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS501275-Big Sky,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,RAND-Random House Publishing,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0625,1.93125,0.99495,0.4375,13.51875,6.96465
AULS501281-President is Missing,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Townsville,BNC,Newslink,RAND-Random House Publishing,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS414925-39 Storey Treehouse,AULS.OOL101,,1,['2019-11-24'],0,0.03703703731298447,0.4374074339866638,0.22703704237937927,0.03703703731298447,0.4374074339866638,0.22703704237937927,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,PANM-PANM,1.0,['2019-11-24'],0.0,0.037037037,0.437407407,0.22700370399999997,0.037037037,0.437407407,0.22700370399999997
AULS431123-Harry Potter and the Chamber o,AULS.OOL101,,3,"['2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,BLOM-Bloomsbury,3.0,"['2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS469724205M-GC2018-MEN 1C EMBLEMPIQUE POLO,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS4723774414-(AM) BUG EYE P,AULS.OOL104,,5,"['2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0416666679084301,0.7558333277702332,0.5370833277702332,0.2083333395421505,3.7791666388511658,2.6854166388511658,03-Books,09-Apparel,QLD,Gold Coast,Specialty,Discover,AM-Australian Made,5.0,"['2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.041666667000000004,0.755833333,0.537083333,0.208333333,3.7791666669999997,2.6854166669999997
AULS504898-Maisys Shop (Pop Out Play Scen,AULS.OOL101,,4,"['2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.043478261679410934,0.5926086902618408,0.31130433082580566,0.17391304671764374,2.3704347610473633,1.2452173233032227,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,WALK-Walker,4.0,"['2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.043478261,0.592608696,0.311304348,0.17391304300000002,2.3704347830000003,1.245217391
AULS434049-MENS T CHESTBRDSDENIMMARLE L,AULS.OOL101,,2,"['2019-11-24', '2019-11-25']",0,0.529411792755127,10.158823013305664,5.261765003204346,1.058823585510254,20.317646026611328,10.523530006408691,03-Books,,,,,,,,,,,,,,,
AULS505789-Alice Wonderland Classic Colle,AULS.OOL101,,1,['2019-11-28'],0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,SCHO-Scholastic Australia Pty Ltd,1.0,['2019-11-28'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
