item_name,store_name,category,OOS_days,Avg_NS_Percentage,Avg_Margin_Percentage,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS471842-Yowie 28g,AULS.TSV101,confectionary,7,0.014345127706064893,0.010838422679635076,0.0,0.0,0.0,0.0,0.0,0.0
AULS473530-RRD Nuts Sw Chilli&Basil 150g,AULS.TSV101,confectionary,7,0.04458465691044969,0.03326924526879289,0.3333333333333333,1.2722222222222221,0.5655555555555556,2.333333333333333,8.905555555555555,3.958888888888889
AULS483767-PL Sweet Dept Choc Hnycmb 115g,AULS.TSV101,confectionary,7,0.03841625199684179,0.03977229887657393,0.21428571428571427,0.6971428571428572,0.43142857142857144,1.5,4.88,3.02
AULS494641-Ironman Energy Bar Choc 60g,AULS.TSV101,confectionary,7,0.06331939369457044,0.06210887431199577,0.23076923076923078,0.7269230769230769,0.4338461538461538,1.6153846153846154,5.088461538461538,3.0369230769230766
NZLS167267-Whitt Wellintn RS Drk Chc 100g,NZLS.AKL101,confectionary,7,0.2849428550038235,0.292936365858331,2.909090909090909,14.70935354643528,7.1028441297229,20.363636363636363,102.96547482504695,49.719908908060304
NZLS178495-Mentos Roll Fruit Fusion 37.5g,NZLS.AKL102,confectionary,7,0.00229684971312019,0.002415075091929833,0.10526315789473684,0.1684133537354082,0.09623620213451894,0.7368421052631579,1.1788934761478573,0.6736534149416327
NZLS180792-Cookie+Protein Choc Chip 113G,NZLS.AKL102,confectionary,7,0.005952121970857177,0.006267119863557918,0.05263157894736842,0.2295233420908277,0.13617422602034432,0.3684210526315789,1.606663394635794,0.9532195821424102
NZLS182394-ME OTG Nut & Seed Natural 50g,NZLS.AKL102,confectionary,7,0.005230254918162261,0.0062188183617193195,0.058823529411764705,0.1344476353349897,0.08389532444903358,0.4117647058823529,0.941133447344928,0.5872672711432351
NZLS134982-Whitt 50% Dark Chunks 50g,NZLS.AKL103,confectionary,7,0.034538559538899234,0.042702279705890536,1.1428571428571428,3.280829611054515,2.2464279183972,8.0,22.965807277381607,15.7249954287804
NZLS167918-Pringles Tex BBQ 134g,NZLS.AKL103,confectionary,7,0.03607849531451894,0.03598441080551104,0.7,4.460596087036022,2.463887365149021,4.8999999999999995,31.22417260925215,17.247211556043148
NZLS171874-DL BB'S Choc Orange Balls180G,NZLS.AKL103,confectionary,7,0.005803875591306222,0.006460837394625846,0.0,0.0,0.0,0.0,0.0,0.0
NZLS172325-Whitt Ital Pied Hazeln 100g,NZLS.AKL103,confectionary,7,0.013108865047922413,0.014241882068804536,0.15384615384615385,0.9845703756839246,0.6062140455996737,1.076923076923077,6.891992629787472,4.243498319197716
NZLS170994-Milk Choc Akl Hrbour by Night,NZLS.AKL104,confectionary,7,0.2861431654001313,0.30414083983088747,0.0,0.0,0.0,0.0,0.0,0.0
