item_name,store_name,category,OOS_days,date_list,OOS_lastDay,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS498420-Coke Peach No Sugar 600ml,AULS.SYD201,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.4,5.855333333333332,3.1393333333333326,9.799999999999999,40.987333333333325,21.975333333333328
AULS507153-Nutriboost Vanilla 340ml,AULS.SYD201,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.6428571428571429,2.34,1.0157142857142856,4.5,16.38,7.109999999999999
AULS258921-Glaceau Focus 500ml,AULS.SYD201,beverage,6,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.6875,4.063125,2.42,4.125,24.378750000000004,14.52
AULS507152-Nutriboost Chocolate 340ml,AULS.SYD203,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,2.1,7.642,3.316,14.700000000000001,53.494,23.212
AULS507153-Nutriboost Vanilla 340ml,AULS.SYD203,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.5,5.456666666666666,2.3666666666666663,10.5,38.196666666666665,16.566666666666663
AULS258921-Glaceau Focus 500ml,AULS.SYD203,beverage,2,"['2019-11-29', '2019-11-30']",1,0.55,3.2505,1.9360000000000004,1.1,6.501,3.8720000000000008
AULS460424-Glaceau Smartwater Pet 700ml,AULS.SYD204,beverage,5,"['2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.2727272727272727,7.953636363636363,5.5227272727272725,6.363636363636363,39.768181818181816,27.613636363636363
AULS146361-Coca Cola Vanilla Coke 600ml,AULS.SYD208,beverage,1,['2019-11-24'],0,2.6785714285714284,10.944642857142856,5.712857142857142,2.6785714285714284,10.944642857142856,5.712857142857142
AULS242252-Powerade Blackcurrant 600ml,AULS.SYD208,beverage,1,['2019-11-26'],0,0.7857142857142857,4.649642857142857,2.7246428571428574,0.7857142857142857,4.649642857142857,2.7246428571428574
AULS460424-Glaceau Smartwater Pet 700ml,AULS.SYD208,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.5555555555555556,9.719999999999999,6.748888888888889,10.88888888888889,68.03999999999999,47.242222222222225
